Code_Year_Month,Postal_Code,Customer_Class,Total_Gallons,
01-02-13,78726,Irrigation - Residential,1700,
14-05-11,78727,Residential,30462300,
06-10-17,78727,Irrigation - Multi-Family,1942100,
10-02-09,78727,Irrigation - Residential,1600,
06-04-09,78727,Multi-Family,19808300,
25-08-19,78728,Multi-Family,6345400,
31-03-14,78728,Residential,3114100,
03-12-13,78728,Irrigation - Multi-Family,187900,
30-08-10,78729,Residential,17513400,
06-06-12,78729,Multi-Family,20504100,
30-12-10,78729,Irrigation - Multi-Family,1186500,
04-07-15,78729,Irrigation - Residential,3000,
30-06-15,78730,Irrigation - Multi-Family,458300,
07-07-19,78730,Irrigation - Residential,163700,
20-08-11,78730,Multi-Family,3887100,
21-07-16,78730,Residential,4247700,
25-08-11,78731,Irrigation - Residential,201800,
31-10-14,78731,Irrigation - Multi-Family,529500,
05-12-13,78731,Residential,42077900,
30-03-10,78731,Multi-Family,17341000,
08-10-17,78732,Residential,7400,
19-10-16,78733,Residential,20800,
14-01-19,78735,Multi-Family,8649700,
23-10-12,78735,Irrigation - Multi-Family,524000,
01-04-12,78735,Residential,13628400,
27-03-19,78736,Residential,9655500,
18-01-13,78736,Irrigation - Multi-Family,130800,
07-04-19,78736,Irrigation - Residential,3800,
11-09-10,78736,Multi-Family,1881300,
10-05-17,78737,Irrigation - Residential,2700,
02-06-18,78737,Residential,3935600,
07-08-17,78738,Residential,6300,
29-04-17,78739,Residential,28646300,
18-06-09,78739,Irrigation - Residential,,
17-02-15,78741,Irrigation - Residential,3700,
05-04-18,78741,Residential,16956200,
31-03-10,78741,Irrigation - Multi-Family,1612400,
08-06-12,78741,Multi-Family,73949800,
24-11-14,78742,Residential,510900,
16-12-08,78742,Multi-Family,2840700,
13-09-14,78744,Irrigation - Residential,600,
09-12-14,78744,Multi-Family,25653800,
11-01-11,78744,Irrigation - Multi-Family,221200,
29-04-11,78744,Residential,45512500,
13-05-19,78745,Irrigation - Multi-Family,1679400,
22-02-16,78745,Multi-Family,27473000,
24-12-17,78745,Irrigation - Residential,13400,
21-03-12,78745,Residential,63666200,
06-05-10,78746,Irrigation - Multi-Family,235100,
11-08-18,78746,Irrigation - Residential,181000,
16-04-17,78746,Multi-Family,10923900,
31-08-16,78746,Residential,21352400,
30-04-12,78747,Irrigation - Residential,71600,
19-01-19,78747,Irrigation - Multi-Family,186400,
08-06-15,78747,Multi-Family,5608000,
06-09-16,78747,Residential,18241100,
11-11-17,78748,Irrigation - Multi-Family,2546700,
12-06-17,78748,Residential,54719100,
01-06-17,78748,Irrigation - Residential,,
05-09-09,78748,Multi-Family,14170300,
11-06-17,78749,Residential,46911500,
02-08-13,78749,Irrigation - Residential,1300,
06-09-11,78749,Multi-Family,13997100,
02-08-14,78749,Irrigation - Multi-Family,3005300,
14-08-09,78750,Irrigation - Residential,,
06-02-14,78750,Irrigation - Multi-Family,432000,
20-10-12,78750,Residential,36926400,
29-08-15,78750,Multi-Family,12238500,
11-10-12,78751,Residential,13825200,
16-06-13,78751,Multi-Family,12466800,
06-06-15,78751,Irrigation - Residential,51600,
18-04-18,78751,Irrigation - Multi-Family,248800,
20-11-11,78752,Residential,11475100,
17-01-16,78752,Irrigation - Multi-Family,49200,
22-07-15,78752,Multi-Family,17356700,
13-08-10,78753,Multi-Family,39847000,
02-12-14,78753,Irrigation - Multi-Family,1936300,
03-11-10,78753,Irrigation - Residential,,
10-03-18,78753,Residential,34002100,
03-12-19,78754,Multi-Family,12430300,
14-10-12,78754,Residential,15076500,
25-11-11,78754,Irrigation - Residential,,
10-09-13,78754,Irrigation - Multi-Family,899400,
22-02-19,78756,Irrigation - Residential,11000,
15-03-17,78756,Irrigation - Multi-Family,83300,
08-09-14,78756,Multi-Family,6432100,
26-04-13,78756,Residential,9053000,
01-09-18,78757,Irrigation - Multi-Family,22200,
11-07-16,78757,Irrigation - Residential,56200,
19-05-12,78757,Multi-Family,12727700,
06-01-16,78757,Residential,26438300,
07-06-12,78758,Irrigation - Multi-Family,778900,
08-07-14,78758,Residential,35231100,
20-11-17,78758,Irrigation - Residential,300,
11-08-12,78758,Multi-Family,43494300,
27-01-11,78759,Irrigation - Residential,21100,
02-06-10,78759,Residential,46080100,
03-06-19,78759,Irrigation - Multi-Family,456900,
25-07-15,78759,Multi-Family,29771700,
19-02-17,78613,Multi-Family,46300,
25-10-09,78613,Irrigation - Multi-Family,13000,
21-05-10,78617,Multi-Family,2181600,
27-07-14,78617,Residential,17901100,
15-04-19,78652,Residential,696200,
03-09-16,78652,Irrigation - Residential,19700,
18-07-18,78652,Multi-Family,21100,
15-04-10,78653,Multi-Family,128400,
05-09-17,78653,Residential,1741200,
25-06-14,78660,Multi-Family,3795600,
28-09-10,78660,Residential,7010900,
22-01-10,78660,Irrigation - Residential,5900,
14-10-10,78701,Residential,1014400,
24-09-11,78701,Irrigation - Multi-Family,124500,
10-04-15,78701,Multi-Family,12171800,
24-03-14,78702,Irrigation - Multi-Family,328500,
17-12-14,78702,Irrigation - Residential,27000,
28-04-15,78702,Residential,26534300,
30-11-13,78702,Multi-Family,8932600,
28-10-14,78703,Irrigation - Multi-Family,228200,
14-02-14,78703,Multi-Family,14006400,
06-11-12,78703,Residential,39369600,
26-11-11,78703,Irrigation - Residential,649100,
30-04-14,78704,Multi-Family,46078600,
25-04-09,78704,Residential,40437200,
21-05-11,78704,Irrigation - Multi-Family,796100,
22-09-16,78704,Irrigation - Residential,134500,
14-02-09,78705,Residential,8654600,
21-07-11,78705,Irrigation - Residential,38900,
19-04-09,78705,Multi-Family,32697100,
14-08-17,78705,Irrigation - Multi-Family,339300,
12-01-14,78717,Multi-Family,6778800,
03-10-16,78717,Residential,24170500,
03-04-12,78717,Irrigation - Residential,,
27-03-13,78717,Irrigation - Multi-Family,1199700,
27-11-13,78719,Multi-Family,553800,
16-07-10,78719,Residential,1448200,
14-08-10,78721,Irrigation - Residential,300,
03-11-17,78721,Irrigation - Multi-Family,,
04-09-19,78721,Residential,14854000,
18-01-16,78721,Multi-Family,4758600,
05-02-11,78722,Irrigation - Multi-Family,84000,
10-04-09,78722,Multi-Family,2975600,
23-01-13,78722,Residential,7870300,
13-06-13,78723,Multi-Family,19841200,
30-05-15,78723,Irrigation - Multi-Family,160300,
16-05-09,78723,Residential,31007900,
13-05-11,78724,Irrigation - Multi-Family,195500,
03-06-12,78724,Irrigation - Residential,20300,
11-01-17,78724,Multi-Family,14170000,
25-06-13,78724,Residential,19609400,
30-09-19,78725,Residential,1988100,
03-04-17,78725,Multi-Family,273700,
11-04-19,78726,Irrigation - Multi-Family,1924000,
28-03-18,78726,Multi-Family,11131400,
17-01-12,78726,Residential,12407400,
18-12-15,78726,Irrigation - Residential,1000,
08-10-16,78727,Residential,32993500,
23-09-09,78727,Multi-Family,21012400,
30-06-14,78727,Irrigation - Residential,800,
15-05-15,78727,Irrigation - Multi-Family,2812500,
01-04-16,78728,Irrigation - Multi-Family,125800,
23-01-09,78728,Residential,3763200,
10-10-14,78728,Multi-Family,7288600,
29-07-18,78729,Irrigation - Residential,1300,
28-08-19,78729,Multi-Family,21927100,
22-12-16,78729,Residential,18607800,
01-01-09,78729,Irrigation - Multi-Family,1296300,
25-04-10,78730,Residential,4234700,
14-04-10,78730,Multi-Family,4232300,
05-10-19,78730,Irrigation - Multi-Family,485100,
24-07-13,78730,Irrigation - Residential,173600,
27-05-18,78731,Residential,46878200,
23-09-19,78731,Multi-Family,19454100,
01-08-16,78731,Irrigation - Multi-Family,447700,
19-05-11,78731,Irrigation - Residential,161000,
25-06-19,78732,Residential,4600,
04-05-11,78733,Residential,18200,
25-01-13,78735,Residential,14893000,
12-03-09,78735,Multi-Family,9733400,
21-08-17,78735,Irrigation - Multi-Family,887800,
17-03-18,78736,Irrigation - Residential,5100,
09-02-18,78736,Residential,10109900,
08-07-13,78736,Multi-Family,2024800,
17-09-19,78736,Irrigation - Multi-Family,161300,
05-06-17,78737,Residential,4276600,
07-11-18,78737,Irrigation - Residential,3700,
28-08-18,78738,Residential,8200,
01-07-13,78739,Residential,29994600,
23-02-10,78739,Irrigation - Residential,,
22-06-15,78741,Irrigation - Residential,13900,
27-02-11,78741,Multi-Family,80321000,
19-06-13,78741,Irrigation - Multi-Family,1578800,
24-07-15,78741,Residential,17558343,
04-06-10,78742,Multi-Family,1680800,
19-04-18,78742,Residential,501700,
06-02-11,78744,Irrigation - Multi-Family,220000,
24-11-17,78744,Residential,49252000,
15-04-09,78744,Irrigation - Residential,500,
05-06-19,78744,Multi-Family,22950200,
07-01-19,78745,Irrigation - Residential,22300,
26-06-17,78745,Irrigation - Multi-Family,1821500,
25-05-09,78745,Residential,70852300,
27-12-11,78745,Multi-Family,31063400,
17-06-10,78746,Irrigation - Residential,197700,
17-12-18,78746,Irrigation - Multi-Family,365700,
22-02-09,78746,Multi-Family,11951600,
24-05-13,78746,Residential,23132600,
05-05-11,78747,Irrigation - Residential,74600,
